Dates,ACTUAL (mm) 
Jan-2015,2.6
Aug-2015,88.2
Sep-2015,54.2
Oct-2015,65
Nov-2015,184.4
Dec-2015,19.2
Feb-2016,0
Mar-2016,0
Apr-2016,0
May-2016,128.4
Jun-2016,179
Jul-2016,80.8
Aug-2016,57.2
Sep-2016,52.6
Oct-2016,39.6
Nov-2016,46.4
Dec-2016,29.4
Jan-2017,0
Feb-2017,0
Mar-2017,1.2
Apr-2017,96.2
May-2017,130.4
Jun-2017,78.8
Jul-2017,28.2
Aug-2017,84.4
Sep-2017,338
Oct-2017,83
Nov-2017,2.2
Dec-2017,10.2
Jan-2018,0
Feb-2018,0
Mar-2018,44.4
Apr-2018,86
May-2018,218.9
Jun-2018,86
Jul-2018,74.2
Aug-2018,60.4
Sep-2018,108
Oct-2018,152
Nov-2018,8.2
Dec-2018,0
Jan-2019,0
Feb-2019,4.6
Mar-2019,0
Apr-2019,18
May-2019,70
Jun-2019,11.2
Jul-2019,5.8
Aug-2019,145.6
Sep-2019,396.4
Oct-2019,242.4
Nov-2019,1332.2
Dec-2019,17.6
Jan-2020,0
Feb-2020,0
Mar-2020,0
Apr-2020,3
May-2020,1738.6
Jun-2020,128.2
Jul-2020,57.6
Aug-2020,33.4
Sep-2020,124.4
Oct-2020,168.8
Nov-2020,22.6
Dec-2020,9
Jan-2021,3.2
Feb-2021,23
Mar-2021,0
Apr-2021,218.8
May-2021,1284.4
Jun-2021,25.6
Jul-2021,77.4
Aug-2021,48
Sep-2021,31.8
Oct-2021,152.6
Nov-2021,151.2
Dec-2021,4.2
