Dates,ACTUAL (mm) 
Jun-2016,19.2
Jul-2016,19.6
Aug-2016,4.6
Sep-2016,0
Oct-2016,25.2
Nov-2016,9
Dec-2016,32
Jan-2017,0
Mar-2017,0
Apr-2017,37.01
May-2017,120
Jun-2017,15.4
Jul-2017,4.2
Aug-2017,43.4
Sep-2017,167.2
Oct-2017,24.2
Nov-2017,23.2
Dec-2017,33.4
Jan-2018,0
Feb-2018,3
Mar-2018,14.2
Apr-2018,12.6
May-2018,178
Jun-2018,13.21
Jul-2018,35.2
Aug-2018,6.8
Sep-2018,272.2
Oct-2018,130.4
Nov-2018,84.8
Dec-2018,4
Jan-2019,12.8
Feb-2019,0
Mar-2019,0
Apr-2019,51.2
May-2019,77.7
Jun-2019,23.6
Jul-2019,6.2
Aug-2019,108.7
Sep-2019,671.2
Oct-2019,798
Nov-2019,1186.6
Dec-2019,139
Jan-2020,0
Feb-2020,36
Mar-2020,0
Apr-2020,20.6
May-2020,126.8
Jun-2020,31.2
Jul-2020,97.6
Aug-2020,27
Sep-2020,76.6
Oct-2020,61.6
Nov-2020,57.4
Dec-2020,35.6
Jan-2021,51
Feb-2021,28.2
Mar-2021,0
Apr-2021,42
May-2021,233
Jun-2021,41.8
Jul-2021,100.2
Aug-2021,31.8
Sep-2021,65.8
Oct-2021,293.6
Nov-2021,223.6
Dec-2021,27.4
