Dates,ACTUAL (mm) 
Jan-2014,0
Feb-2014,0
Mar-2014,0
Apr-2014,0
May-2014,57.7
Jun-2014,0
Jul-2014,20.4
Aug-2014,77.8
Sep-2014,180.9
Oct-2014,265.2
Nov-2014,37.6
Dec-2014,0
Jan-2015,37
Feb-2015,0
Mar-2015,0
Apr-2015,42.2
May-2015,70
Jun-2015,48.4
Jul-2015,14.2
Aug-2015,60.2
Sep-2015,71.2
Oct-2015,70.8
Nov-2015,269.8
Dec-2015,81.6
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,16
May-2016,64.8
Jun-2016,10.2
Jul-2016,32
Aug-2016,39.6
Sep-2016,9
Oct-2016,29.8
Nov-2016,30.8
Dec-2016,13.9
Jan-2017,30.4
Feb-2017,0
Mar-2017,128.6
Apr-2017,0
May-2017,41.8
Jun-2017,0
Jul-2017,3.8
Aug-2017,121
Sep-2017,184.4
Oct-2017,27.2
Nov-2017,117
Dec-2017,62.4
Jan-2018,0
Feb-2018,43
Mar-2018,7.4
Apr-2018,9.8
May-2018,112
Jun-2018,0
Jul-2018,31
Aug-2018,64
Sep-2018,110.2
Oct-2018,52.2
Nov-2018,48
Dec-2018,0
Jan-2019,0
Feb-2019,0
Mar-2019,0
Apr-2019,15.2
May-2019,60.6
Jun-2019,0
Jul-2019,0
Aug-2019,18.6
Sep-2019,0
Oct-2019,34.6
Nov-2019,0
Dec-2019,5.4
Jan-2020,0
Feb-2020,0
Mar-2020,18.6
Apr-2020,0
May-2020,12.6
Jun-2020,57.4
Jul-2020,108.4
Aug-2020,39.8
Sep-2020,102.8
Oct-2020,24.6
Nov-2020,293
Dec-2020,55.6
Jan-2021,57.2
Feb-2021,22
Mar-2021,0
Apr-2021,35.8
May-2021,32
Jun-2021,44.2
Jul-2021,45.4
Aug-2021,24.6
Sep-2021,12.8
Oct-2021,52.2
Nov-2021,43.5
Dec-2021,18
