Dates,ACTUAL (mm) 
Aug-2016,0
Dec-2016,0
Jun-2017,74
Jul-2017,160.1
Aug-2017,313.8
Sep-2017,219
Oct-2017,88.1
Nov-2017,7
Dec-2017,0
Jan-2018,0
Feb-2018,0
Mar-2018,9.2
Jun-2018,250.6
Jul-2018,437.5
Aug-2018,355.8
Sep-2018,210
Oct-2018,88.2
Nov-2018,0
Dec-2018,0
Jan-2019,0
Feb-2019,0
Mar-2019,0
Apr-2019,0
May-2019,88.8
Jun-2019,8.2
Jul-2019,66.2
Aug-2019,349.2
Sep-2019,149.1
Oct-2019,244
Nov-2019,24.1
Dec-2019,14.8
Jan-2020,0
Feb-2020,0
Mar-2020,0
Apr-2020,76
May-2020,1060
Jun-2020,834.3
Jul-2020,149.8
Aug-2020,232.1
Sep-2020,213
Oct-2020,99
Nov-2020,19.8
Dec-2020,0
Jan-2021,0
Feb-2021,45
Mar-2021,0
Apr-2021,381.4
May-2021,692
Jun-2021,271.4
Jul-2021,439.4
Aug-2021,121.4
Sep-2021,154.4
Oct-2021,202.2
Nov-2021,162
Dec-2021,3.2
