Dates,ACTUAL (mm) 
Jan-2015,0
Aug-2015,44.4
Sep-2015,103.4
Oct-2015,25
Nov-2015,166.6
Dec-2015,37
Feb-2016,0
Mar-2016,16.2
Apr-2016,0
May-2016,80.2
Jun-2016,103.4
Jul-2016,130.4
Aug-2016,4.6
Sep-2016,32
Oct-2016,0
Nov-2016,10.6
Dec-2016,28.2
Jan-2017,0
Feb-2017,0
Mar-2017,3.4
Apr-2017,77
May-2017,193
Jun-2017,33.8
Jul-2017,21
Aug-2017,73.4
Sep-2017,296.2
Oct-2017,56.6
Nov-2017,3.2
Dec-2017,49.6
Jan-2018,0
Feb-2018,0
Mar-2018,63.8
Apr-2018,24.4
May-2018,112.6
Jun-2018,72.2
Jul-2018,55.6
Aug-2018,80
Sep-2018,97.8
Oct-2018,178.6
Nov-2018,1.4
Dec-2018,0
Jan-2019,0
Feb-2019,0
Mar-2019,0
Apr-2019,92.4
May-2019,122.4
Jun-2019,23.2
Jul-2019,23.2
Aug-2019,97
Sep-2019,109.2
Oct-2019,345.8
Nov-2019,706.5
Dec-2019,13
Jan-2020,0
Feb-2020,0
Mar-2020,3
Apr-2020,392
May-2020,909
Jun-2020,192.6
Jul-2020,90.2
Aug-2020,94.9
Sep-2020,154.5
Oct-2020,142.6
Nov-2020,74.8
Dec-2020,3
Jan-2021,59
Feb-2021,15
Mar-2021,0
Apr-2021,110.4
May-2021,567.8
Jun-2021,50.8
Jul-2021,117.1
Aug-2021,45.4
Sep-2021,29.4
Oct-2021,181.64
Nov-2021,113.2
Dec-2021,8.6
