Dates,ACTUAL (mm) 
Jan-2014,0
Feb-2014,0
Mar-2014,0
Apr-2014,0
May-2014,99.8
Jun-2014,3.4
Jul-2014,7.4
Aug-2014,57.6
Sep-2014,176
Oct-2014,191.8
Nov-2014,17.4
Dec-2014,0
Jan-2015,49
Feb-2015,0
Mar-2015,1.2
Apr-2015,33.8
May-2015,46.8
Jun-2015,32.4
Jul-2015,1.2
Aug-2015,29.2
Sep-2015,50.2
Oct-2015,28.6
Nov-2015,161.5
Dec-2015,41.2
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,3
May-2016,35.6
Jun-2016,8.4
Jul-2016,50.4
Aug-2016,60.8
Sep-2016,48
Oct-2016,8
Nov-2016,6.2
Dec-2016,25
Jan-2017,11.4
Feb-2017,0
Mar-2017,96.2
Apr-2017,0
May-2017,45.4
Jun-2017,3
Jul-2017,14.2
Aug-2017,141
Sep-2017,142
Oct-2017,27.8
Nov-2017,95
Dec-2017,71.4
Jan-2018,0
Feb-2018,32.8
Mar-2018,7.6
Apr-2018,14.4
May-2018,87.6
Jun-2018,0
Jul-2018,75
Aug-2018,28.6
Sep-2018,82.8
Oct-2018,47
Nov-2018,144.4
Dec-2018,5
Jan-2019,0
Feb-2019,0
Mar-2019,0
Apr-2019,94.6
May-2019,35.6
Jun-2019,0
Jul-2019,10.2
Aug-2019,40.1
Sep-2019,4352
Oct-2019,1550.6
Nov-2019,2499
Dec-2019,1335
Jan-2020,0
Feb-2020,0
Mar-2020,24.6
Apr-2020,832
May-2020,74.8
Jun-2020,270.2
Jul-2020,562.4
Aug-2020,80.4
Sep-2020,192.6
Oct-2020,51.4
Nov-2020,466.6
Dec-2020,82.4
Jan-2021,141
Feb-2021,17.8
Mar-2021,0
Apr-2021,112
May-2021,60
Jun-2021,48.8
Jul-2021,39.6
Aug-2021,87.2
Sep-2021,72
Oct-2021,270.4
Nov-2021,195
Dec-2021,96.6
