Dates,ACTUAL (mm) 
Jun-2017,108.99
Jul-2017,225
Aug-2017,216
Sep-2017,168
Oct-2017,41
Nov-2017,6
Dec-2017,4
Jan-2018,0
Feb-2018,0
Mar-2018,5
Jun-2018,678
Jul-2018,1008
Aug-2018,1155
Sep-2018,46.5
Oct-2018,153.5
Nov-2018,6.5
Dec-2018,3
Jan-2019,0
Feb-2019,0
Mar-2019,0
Apr-2019,0
May-2019,14
Jun-2019,0
Jul-2019,307
Aug-2019,825.5
Sep-2019,411
Oct-2019,186
Nov-2019,33
Dec-2019,165
Jan-2020,0
Feb-2020,0.01
Mar-2020,78
Apr-2020,90
May-2020,307
Jun-2020,224.3
Jul-2020,323
Aug-2020,570
Sep-2020,337
Oct-2020,156
Nov-2020,19.5
Dec-2020,6
Jan-2021,20.2
Feb-2021,0
Mar-2021,0
Apr-2021,31
May-2021,452
Jun-2021,381
Jul-2021,703
Aug-2021,347
Sep-2021,410
Oct-2021,444
Nov-2021,180
Dec-2021,8
