Dates,ACTUAL (mm) 
Jan-2015,3.8
Aug-2015,82.4
Sep-2015,156
Oct-2015,56.2
Nov-2015,62.6
Dec-2015,4.2
Feb-2016,0
Mar-2016,5.4
Apr-2016,0
May-2016,85.8
Jun-2016,162.8
Jul-2016,123.6
Aug-2016,39
Sep-2016,20.8
Oct-2016,12.4
Nov-2016,10.6
Dec-2016,31.8
Jan-2017,14.6
Feb-2017,0
Mar-2017,7.2
Apr-2017,62
May-2017,142
Jun-2017,81.8
Jul-2017,59.4
Aug-2017,111.2
Sep-2017,247.4
Oct-2017,146.2
Nov-2017,16.8
Dec-2017,14
Jan-2018,0
Feb-2018,7.6
Mar-2018,54.8
Apr-2018,73.6
May-2018,286.4
Jun-2018,271.6
Jul-2018,196.6
Aug-2018,137.6
Sep-2018,174.2
Oct-2018,109.8
Nov-2018,20.4
Dec-2018,0
Jan-2019,0
Feb-2019,0
Mar-2019,9
Apr-2019,63.4
May-2019,82.6
Jun-2019,27.8
Jul-2019,15.1
Aug-2019,266
Sep-2019,113.9
Oct-2019,208.6
Nov-2019,83.6
Dec-2019,79.4
Jan-2020,0
Feb-2020,0
Mar-2020,0
Apr-2020,337
May-2020,432.4
Jun-2020,42.88
Jul-2020,101.6
Aug-2020,207.8
Sep-2020,125.2
Oct-2020,190
Nov-2020,9.6
Dec-2020,4.6
Jan-2021,3.6
Feb-2021,36.2
Mar-2021,5.2
Apr-2021,315.2
May-2021,359.76
Jun-2021,88.6
Jul-2021,341.8
Aug-2021,71.2
Sep-2021,99.4
Oct-2021,131.2
Nov-2021,135
Dec-2021,0
