Dates,ACTUAL (mm) 
Jun-2015,33.2
Jul-2015,0.2
Aug-2015,34.2
Sep-2015,106.2
Oct-2015,107.3
Nov-2015,261
Dec-2015,40.6
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,0
May-2016,188.8
Jun-2016,14.9
Jul-2016,187.8
Aug-2016,37.2
Sep-2016,17.8
Oct-2016,87.1
Nov-2016,15.8
Dec-2016,54.25
Jan-2017,12.5
Feb-2017,0
Mar-2017,8.8
Apr-2017,4
May-2017,58.5
Jun-2017,0
Jul-2017,0
Aug-2017,172.55
Sep-2017,144.7
Oct-2017,81.2
Nov-2017,43.1
Dec-2017,122.5
Jan-2018,6
Feb-2018,2
Mar-2018,14.4
Apr-2018,4.5
May-2018,103.8
Jun-2018,48.8
Jul-2018,53.7
Aug-2018,16.6
Sep-2018,255.1
Oct-2018,63.3
Nov-2018,59.7
Dec-2018,5.2
Jan-2019,0
Feb-2019,0
Mar-2019,0
Apr-2019,12.8
May-2019,56.7
Jun-2019,0.5
Jul-2019,2.6
Aug-2019,4.6
Sep-2019,1952
Oct-2019,763.2
Nov-2019,814
Dec-2019,1756.8
Jan-2020,38
Feb-2020,0
Mar-2020,2.8
Apr-2020,134.2
May-2020,51.2
Jun-2020,93.4
Jul-2020,28.2
Aug-2020,156
Sep-2020,243.1
Oct-2020,58.9
Nov-2020,132.2
Dec-2020,82.4
Jan-2021,85.5
Feb-2021,0
Mar-2021,0
Apr-2021,10.5
May-2021,53
Jun-2021,34.7
Jul-2021,139
Aug-2021,147.9
Sep-2021,179.8
Oct-2021,316.8
Nov-2021,310.7
Dec-2021,25.6
