Dates,ACTUAL (mm) 
Jun-2015,74.8
Jul-2015,139
Aug-2015,105.4
Sep-2015,123
Oct-2015,51.6
Nov-2015,53.8
Dec-2015,0
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,0
May-2016,0
Jun-2016,155.8
Jul-2016,147.8
Aug-2016,109.6
Sep-2016,54.4
Oct-2016,3.4
Nov-2016,0
Dec-2016,16.2
Jan-2017,0
Feb-2017,0
Mar-2017,0
Apr-2017,0
May-2017,0
Jun-2017,155.4
Jul-2017,183
Aug-2017,187.4
Sep-2017,169
Oct-2017,34.4
Nov-2017,4.6
Dec-2017,0
Jan-2018,0
Feb-2018,0
Mar-2018,42.5
Apr-2018,21.2
May-2018,347.2
Jun-2018,613
Jul-2018,874.5
Aug-2018,783.2
Sep-2018,46
Oct-2018,144.4
Nov-2018,6.8
Dec-2018,2.8
Jan-2019,0
Feb-2019,0
Mar-2019,3.2
Apr-2019,124.6
May-2019,26.6
Jun-2019,0
Jul-2019,136.2
Aug-2019,565.6
Sep-2019,440
Oct-2019,230.8
Nov-2019,12.8
Dec-2019,376.6
Jan-2020,0
Feb-2020,0
Mar-2020,12
Apr-2020,0
May-2020,71.4
Jun-2020,184.4
Jul-2020,284
Aug-2020,659.2
Sep-2020,430.6
Oct-2020,69.6
Nov-2020,26.4
Dec-2020,1.6
Jan-2021,12.8
Feb-2021,4.6
Mar-2021,0
Apr-2021,324
May-2021,629.6
Jun-2021,408.4
Jul-2021,408.6
Aug-2021,160.8
Sep-2021,116
Oct-2021,123
Nov-2021,52.2
Dec-2021,10.6
