Dates,ACTUAL (mm) 
Jun-2016,52.6
Jul-2016,115.1
Aug-2016,74.6
Sep-2016,13.4
Oct-2016,22
Nov-2016,3.6
Dec-2016,25.2
Jan-2017,0
Mar-2017,0
Apr-2017,17.6
May-2017,101.8
Jun-2017,5.8
Jul-2017,15.8
Aug-2017,83.1
Sep-2017,241.6
Oct-2017,80
Nov-2017,34
Dec-2017,49.2
Jan-2018,0
Feb-2018,6.2
Mar-2018,10.8
Apr-2018,32.2
May-2018,146
Jun-2018,147.4
Jul-2018,54
Aug-2018,21
Sep-2018,150.3
Oct-2018,96
Nov-2018,47.9
Dec-2018,27
Jan-2019,13.8
Feb-2019,0
Mar-2019,0
Apr-2019,123.8
May-2019,27.8
Jun-2019,1.8
Jul-2019,1.6
Aug-2019,199.4
Sep-2019,1149.6
Oct-2019,307.6
Nov-2019,264.8
Dec-2019,22
Jan-2020,6
Feb-2020,0
Mar-2020,0
Apr-2020,95.8
May-2020,57.3
Jun-2020,11.8
Jul-2020,237
Aug-2020,145.4
Sep-2020,205.2
Oct-2020,90
Nov-2020,101.2
Dec-2020,50.2
Jan-2021,17.4
Feb-2021,0
Mar-2021,0
Apr-2021,125.9
May-2021,37
Jun-2021,91
Jul-2021,83.4
Aug-2021,65.8
Sep-2021,152.6
Oct-2021,212.4
Nov-2021,217.2
Dec-2021,69
