Dates,ACTUAL (mm) 
Jun-2015,2
Jul-2015,0
Aug-2015,37.8
Sep-2015,135
Oct-2015,86.6
Nov-2015,224
Dec-2015,16.5
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,0
May-2016,80.6
Jun-2016,47.1
Jul-2016,71
Aug-2016,5.2
Sep-2016,28.4
Oct-2016,79
Nov-2016,16.4
Dec-2016,19.8
Jan-2017,9.2
Feb-2017,0
Mar-2017,38.6
Apr-2017,3
May-2017,54.4
Jun-2017,12.2
Jul-2017,0
Aug-2017,83.2
Sep-2017,181.7
Oct-2017,81
Nov-2017,62.8
Dec-2017,56.6
Jan-2018,1.4
Feb-2018,52.6
Mar-2018,11
Apr-2018,28.2
May-2018,79
Jun-2018,0
Jul-2018,18.4
Aug-2018,10.6
Sep-2018,133.4
Oct-2018,75
Nov-2018,106.2
Dec-2018,0
Jan-2019,0
Feb-2019,0
Mar-2019,0
Apr-2019,0
May-2019,77.2
Jun-2019,0
Jul-2019,11.6
Aug-2019,16.8
Sep-2019,1135
Oct-2019,1123.9
Nov-2019,325
Dec-2019,850.2
Jan-2020,0
Feb-2020,0
Mar-2020,0
Apr-2020,6
May-2020,82
Jun-2020,35.4
Jul-2020,96.8
Aug-2020,47.2
Sep-2020,101.6
Oct-2020,22.2
Nov-2020,103.4
Dec-2020,58.8
Jan-2021,154.2
Mar-2021,0
Apr-2021,226
May-2021,305
Jun-2021,198
Jul-2021,319
Aug-2021,42.6
Sep-2021,88.6
Oct-2021,204.8
Nov-2021,171.2
Dec-2021,58.4
