Dates,ACTUAL (mm) 
Jun-2015,88
Jul-2015,24.4
Aug-2015,83.6
Sep-2015,20.2
Oct-2015,98.2
Nov-2015,487.7
Dec-2015,452.9
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,0
May-2016,152.2
Jun-2016,32.6
Jul-2016,45.8
Aug-2016,107
Sep-2016,98.6
Oct-2016,76
Nov-2016,75.4
Dec-2016,100.6
Jan-2017,124.8
Feb-2017,0
Mar-2017,67.6
Apr-2017,0
May-2017,0
Jun-2017,66.4
Jul-2017,35
Aug-2017,99.8
Sep-2017,133.6
Oct-2017,131.8
Nov-2017,557
Dec-2017,212.6
Jan-2018,89
Feb-2018,0
Mar-2018,32
Apr-2018,2
May-2018,30.2
Jun-2018,18.6
Jul-2018,33.4
Aug-2018,50.2
Sep-2018,49
Oct-2018,200.2
Nov-2018,418.8
Dec-2018,79.2
Jan-2019,0
Feb-2019,0
Mar-2019,0
Apr-2019,0
May-2019,0
Jun-2019,0
Jul-2019,0
Aug-2019,182.3
Sep-2019,289.6
Oct-2019,364.8
Nov-2019,326.4
Dec-2019,229.6
Jan-2020,14.6
Feb-2020,0
Mar-2020,0
May-2020,0
Jun-2020,3.2
Jul-2020,123.4
Aug-2020,69.4
Sep-2020,64
Oct-2020,35
Nov-2020,195.8
Dec-2020,570
Jan-2021,193.8
Feb-2021,0.4
Mar-2021,0
Apr-2021,0
May-2021,20
Jun-2021,17.6
Jul-2021,37
Aug-2021,68.2
Sep-2021,32
Oct-2021,300.7
Nov-2021,647.4
Dec-2021,74
