Dates,ACTUAL (mm) 
Oct-2016,0
May-2017,0
Jun-2017,193
Jul-2017,188.2
Aug-2017,363
Sep-2017,136.2
Oct-2017,87.4
Nov-2017,21.2
Dec-2017,0
Jan-2018,0
Feb-2018,0
Mar-2018,12.4
Apr-2018,54.7
May-2018,231.6
Jun-2018,835.7
Jul-2018,837.6
Aug-2018,571.1
Sep-2018,138.3
Oct-2018,135.7
Nov-2018,0
Dec-2018,3.6
Jan-2019,0
Feb-2019,0
Mar-2019,0
Apr-2019,37.6
May-2019,62.7
Jun-2019,5.2
Jul-2019,135.7
Aug-2019,593.6
Sep-2019,324.4
Oct-2019,298
Nov-2019,22.4
Dec-2019,106.6
Jan-2020,0
Feb-2020,0
Mar-2020,3
Apr-2020,10
May-2020,1422.2
Jun-2020,319.8
Jul-2020,337.6
Aug-2020,645.9
Sep-2020,234.6
Oct-2020,182.2
Nov-2020,2.8
Dec-2020,7.6
Jan-2021,21
Feb-2021,85.2
Mar-2021,0
Apr-2021,78.8
May-2021,745.2
Jun-2021,1758
Jul-2021,2654.4
Aug-2021,133
Sep-2021,84.9
Oct-2021,47.2
Nov-2021,95
Dec-2021,2
