Dates,ACTUAL (mm) 
"Jan-2015",8.6
"Aug-2015",128.8
"Sep-2015",192.8
"Oct-2015",59.8
"Nov-2015",237.2
"Dec-2015",0.6
"Feb-2016",0
"Mar-2016",8.2
"Apr-2016",36.2
"May-2016",40.8
"Jun-2016",47.1
"Jul-2016",237.2
"Aug-2016",65.6
"Sep-2016",13
"Oct-2016",13.2
"Nov-2016",26.4
"Dec-2016",63.2
"Jan-2017",1
"Feb-2017",0
"Mar-2017",4
"Apr-2017",20
"May-2017",303
"Jun-2017",29.4
"Jul-2017",17.6
"Aug-2017",219.7
"Sep-2017",389.8
"Oct-2017",272.4
"Nov-2017",51.8
"Dec-2017",15.4
"Jan-2018",0
"Feb-2018",8.2
"Mar-2018",14.2
"Apr-2018",28
"May-2018",187.4
"Jun-2018",66.6
"Jul-2018",34.8
"Aug-2018",41.4
"Sep-2018",202.4
"Oct-2018",64
"Nov-2018",55.2
"Dec-2018",0
"Jan-2019",2.8
"Feb-2019",5.6
"Mar-2019",0
"Apr-2019",49.8
"May-2019",95.2
"Jun-2019",14
"Jul-2019",10
"Aug-2019",122
"Sep-2019",168.8
"Oct-2019",275.2
"Nov-2019",576
"Dec-2019",100.4
"Jan-2020",0
"Feb-2020",0
"Mar-2020",122
"Apr-2020",1807
"May-2020",1883.8
"Jun-2020",57.8
"Jul-2020",109.2
"Aug-2020",174.8
"Sep-2020",1312.6
"Oct-2020",155.4
"Nov-2020",29.2
"Dec-2020",30
"Jan-2021",12.6
"Feb-2021",2
"Mar-2021",3
"Apr-2021",1279.4
"May-2021",1566
"Jun-2021",495.2
"Jul-2021",364.6
"Aug-2021",52.6
"Sep-2021",102.2
"Oct-2021",33.8
"Nov-2021",250.4
"Dec-2021",29
