Dates,ACTUAL (mm) 
Jun-2015,85
Jul-2015,3
Aug-2015,88
Sep-2015,138.4
Oct-2015,108.8
Nov-2015,173
Dec-2015,4.8
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,6
May-2016,56.2
Jun-2016,27.8
Jul-2016,34.2
Aug-2016,1.8
Sep-2016,3
Oct-2016,9
Nov-2016,24.4
Dec-2016,42.2
Jan-2017,0
Feb-2017,0
May-2017,99
Jun-2017,23.8
Jul-2017,8
Aug-2017,136.4
Sep-2017,372.8
Oct-2017,46
Nov-2017,142.6
Dec-2017,20.2
Jan-2018,0
Feb-2018,2.8
Mar-2018,18
Apr-2018,92.2
May-2018,239.6
Jun-2018,45.8
Jul-2018,41
Aug-2018,23.6
Sep-2018,250.6
Oct-2018,207
Nov-2018,28
Dec-2018,2.2
Jan-2019,1.4
Feb-2019,0
Mar-2019,0
Apr-2019,41.4
May-2019,60
Jun-2019,3
Jul-2019,3.6
Aug-2019,122.6
Sep-2019,2314.2
Oct-2019,1210.2
Nov-2019,171.4
Dec-2019,41.4
Jan-2020,16
Feb-2020,1
Mar-2020,4.4
Apr-2020,2.4
May-2020,481
Jun-2020,49
Jul-2020,32.4
Aug-2020,60.2
Sep-2020,136.2
Oct-2020,56.2
Nov-2020,96.4
Dec-2020,34.4
Jan-2021,53.6
Feb-2021,481.2
Mar-2021,0
Apr-2021,81.8
May-2021,57.2
Jun-2021,38.8
Jul-2021,43
Aug-2021,33
Sep-2021,34.8
Oct-2021,186.2
Nov-2021,155.2
Dec-2021,38.7
