Dates,ACTUAL (mm) 
Jun-2015,45
Jul-2015,0
Aug-2015,46.9
Sep-2015,145.2
Oct-2015,249
Nov-2015,274.2
Dec-2015,24
Jan-2016,0
Feb-2016,0
Mar-2016,0
May-2016,35.6
Jun-2016,45
Jul-2016,155.4
Aug-2016,48
Sep-2016,37.4
Oct-2016,40
Nov-2016,9.79
Dec-2016,14.4
Jan-2017,4.2
Feb-2017,0
May-2017,103.6
Jun-2017,26.2
Jul-2017,15.4
Aug-2017,109
Sep-2017,148.4
Oct-2017,169.2
Nov-2017,33.2
Dec-2017,24.4
Jan-2018,0
Feb-2018,34.4
Mar-2018,2.8
Apr-2018,120.4
May-2018,298.3
Jun-2018,34.6
Jul-2018,63
Aug-2018,84.6
Sep-2018,134.8
Oct-2018,93.2
Nov-2018,48.6
Dec-2018,9.4
Jan-2019,0
Feb-2019,0
Mar-2019,15.8
Apr-2019,65.4
May-2019,62.8
Jun-2019,5.2
Jul-2019,15.2
Aug-2019,137.4
Sep-2019,224.8
Oct-2019,285.2
Nov-2019,43.9
Dec-2019,26.4
Jan-2020,0
Feb-2020,0
Mar-2020,0
Apr-2020,57.2
May-2020,73.2
Jun-2020,16.2
Jul-2020,150.8
Aug-2020,52.8
Sep-2020,158.8
Oct-2020,76.2
Nov-2020,57
Dec-2020,37.4
Jan-2021,0
Feb-2021,0
Mar-2021,0
Apr-2021,55.1
May-2021,65.2
Jun-2021,0
Jul-2021,0
Aug-2021,12.2
Sep-2021,98.5
Oct-2021,76.2
Nov-2021,25
Dec-2021,35.4
