Dates,ACTUAL (mm) 
Jun-2015,86
Jul-2015,24
Aug-2015,67.8
Sep-2015,29.8
Oct-2015,154.4
Nov-2015,487.8
Dec-2015,512.4
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,0
May-2016,210
Jun-2016,41.6
Jul-2016,18.6
Aug-2016,76.8
Sep-2016,148
Oct-2016,77
Nov-2016,59.6
Dec-2016,92.2
Jan-2017,96.4
Feb-2017,0
Mar-2017,71.8
Apr-2017,0
May-2017,0
Jun-2017,85.8
Jul-2017,61.4
Aug-2017,155
Sep-2017,112
Oct-2017,108.2
Nov-2017,529.6
Dec-2017,173.4
Jan-2018,61.4
Feb-2018,0
Mar-2018,18
Apr-2018,16.8
May-2018,30.6
Jun-2018,19.2
Jul-2018,22.8
Aug-2018,41.8
Sep-2018,40.2
Oct-2018,215.6
Nov-2018,545.2
Dec-2018,60.8
Jan-2019,0
Feb-2019,0
Mar-2019,0
Apr-2019,0
May-2019,0
Jun-2019,0
Jul-2019,68
Aug-2019,157.6
Sep-2019,196.7
Oct-2019,322.8
Nov-2019,344.9
Dec-2019,284.6
Jan-2020,15.4
Feb-2020,0
Mar-2020,0
May-2020,0
Jun-2020,0
Jul-2020,185.2
Aug-2020,111.8
Sep-2020,121.3
Oct-2020,53.5
Nov-2020,212.6
Dec-2020,565.3
Jan-2021,195.4
Feb-2021,0
Mar-2021,0
Apr-2021,65.8
May-2021,53
Jun-2021,18.4
Jul-2021,98
Aug-2021,95.4
Sep-2021,30
Oct-2021,374.2
Nov-2021,625.2
Dec-2021,13.4
