Dates,ACTUAL (mm) 
"Jan-2014",0
"Feb-2014",0
"Mar-2014",0
"Apr-2014",60.4
"May-2014",240.4
"Jun-2014",639.6
"Jul-2014",1384.2
"Aug-2014",1298.4
"Sep-2014",477.4
"Oct-2014",349.4
"Nov-2014",73.6
"Dec-2014",5.6
"Aug-2015",658.8
"Sep-2015",256.4
"Oct-2015",522.9
"Nov-2015",200.4
"Dec-2015",4
"Jan-2016",2.2
"Feb-2016",0
"Mar-2016",0
"Apr-2016",6.6
"May-2016",115.4
"Jun-2016",1231.2
"Jul-2016",1017.5
"Aug-2016",819.4
"Sep-2016",408
"Oct-2016",57.8
"Nov-2016",90.8
"Dec-2016",9.2
"Jan-2017",0
"Feb-2017",0
"Mar-2017",0
"Apr-2017",14.5
"May-2017",38.8
"Jun-2017",636.2
"Jul-2017",550.8
"Aug-2017",745.2
"Sep-2017",176.8
"Oct-2017",140.8
"Nov-2017",1.8
"Dec-2017",11.3
"Jan-2018",0
"Feb-2018",0
"Mar-2018",52.6
"Apr-2018",13.6
"May-2018",298.9
"Jun-2018",622.2
"Jul-2018",856.8
"Aug-2018",850.2
"Sep-2018",24.8
"Oct-2018",107.2
"Nov-2018",0
"Dec-2018",37.4
"Jan-2019",0
"Feb-2019",0
"Mar-2019",0
"Apr-2019",2
"May-2019",0
"Jun-2019",5
"Jul-2019",1413.2
"Aug-2019",2621.6
"Sep-2019",1499.2
"Oct-2019",1388
"Nov-2019",158.4
"Dec-2019",15.8
"Jan-2020",0
"Feb-2020",0
"May-2020",2.2
"Jun-2020",947.2
"Jul-2020",1121.6
"Aug-2020",1544.2
"Sep-2020",997.2
"Oct-2020",456.8
"Nov-2020",102.2
"Dec-2020",25.6
"Jan-2021",64.4
"Feb-2021",2.8
"Mar-2021",0
"May-2021",389.8
"Jun-2021",929.95
"Jul-2021",1087.1
"Aug-2021",808.6
"Sep-2021",684
"Oct-2021",445.5
"Nov-2021",424.9
"Dec-2021",43.6
