Dates,ACTUAL (mm) 
Jun-2015,87.4
Jul-2015,23.4
Aug-2015,39.2
Sep-2015,2.8
Oct-2015,154.5
Nov-2015,578
Dec-2015,455.6
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,0
May-2016,250.4
Jun-2016,38.8
Jul-2016,7
Aug-2016,117
Sep-2016,20.2
Oct-2016,47.7
Nov-2016,170
Dec-2016,74.2
Jan-2017,122.8
Feb-2017,0
Mar-2017,93
Apr-2017,0
May-2017,0
Jun-2017,53
Jul-2017,47.4
Aug-2017,137.5
Sep-2017,49.9
Oct-2017,242.6
Nov-2017,556.4
Dec-2017,214.4
Jan-2018,42
Feb-2018,0
Mar-2018,0
Apr-2018,13.2
May-2018,38.8
Jun-2018,8.8
Jul-2018,0
Aug-2018,26.4
Sep-2018,87.2
Oct-2018,288.3
Nov-2018,360.7
Dec-2018,71.2
Jan-2019,0
Feb-2019,1.2
Mar-2019,0
Apr-2019,0
May-2019,0
Jun-2019,0
Jul-2019,28.6
Aug-2019,191
Sep-2019,169.7
Oct-2019,347.6
Nov-2019,403.4
Dec-2019,222.6
Jan-2020,4
Feb-2020,0
Mar-2020,0
May-2020,0
Jun-2020,2.5
Jul-2020,155.2
Aug-2020,39.4
Sep-2020,69.5
Oct-2020,6.8
Nov-2020,272.1
Dec-2020,743.6
Jan-2021,125
Feb-2021,25.3
Mar-2021,0
Apr-2021,0
May-2021,78.6
Jun-2021,22.2
Jul-2021,65.9
Aug-2021,84.5
Sep-2021,39.1
Oct-2021,500.9
Nov-2021,706.4
Dec-2021,66.4
