Dates,ACTUAL (mm) 
Jun-2015,141.6
Jul-2015,16.2
Aug-2015,64.2
Sep-2015,88.6
Oct-2015,114
Nov-2015,215.6
Dec-2015,0
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,3.8
May-2016,37
Jun-2016,123
Jul-2016,122.8
Aug-2016,40
Sep-2016,45.2
Oct-2016,18.8
Nov-2016,6
Dec-2016,33.6
Jan-2017,0
Feb-2017,0
May-2017,174.6
Jun-2017,17
Jul-2017,0
Aug-2017,129
Sep-2017,263
Oct-2017,206
Nov-2017,70
Dec-2017,100
Jan-2018,0
Feb-2018,0
Mar-2018,30
Apr-2018,66.8
May-2018,149
Jun-2018,81
Jul-2018,14.4
Aug-2018,31
Sep-2018,173
Oct-2018,128
Nov-2018,56
Dec-2018,4
Jan-2019,7
Feb-2019,0
Mar-2019,0
Apr-2019,130
May-2019,121.4
Jun-2019,12
Jul-2019,20
Aug-2019,67.8
Sep-2019,108
Oct-2019,642.2
Nov-2019,74
Dec-2019,30.4
Jan-2020,0
Feb-2020,0
Mar-2020,0
Apr-2020,4
May-2020,222
Jun-2020,10
Jul-2020,131
Aug-2020,79.2
Sep-2020,157.2
Oct-2020,156.6
Nov-2020,108
Dec-2020,73
Jan-2021,7
Feb-2021,5
Mar-2021,0
Apr-2021,71.8
May-2021,118
Jun-2021,45.4
Jul-2021,134
Aug-2021,99
Sep-2021,59
Oct-2021,235.8
Nov-2021,370
Dec-2021,13
