Dates,ACTUAL (mm) 
"Jun-2015",88.2
"Jul-2015",353.8
"Aug-2015",222.8
"Sep-2015",183.66
"Oct-2015",156.8
"Nov-2015",80.2
"Dec-2015",0
"Jan-2016",0
"Feb-2016",0
"Mar-2016",0
"Apr-2016",0
"May-2016",0
"Jun-2016",331.6
"Jul-2016",374.8
"Aug-2016",286.2
"Sep-2016",97.1
"Oct-2016",6
"Nov-2016",17.6
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",0
"Apr-2017",0
"May-2017",0
"Jun-2017",463.3
"Jul-2017",349.6
"Aug-2017",250.6
"Sep-2017",231.8
"Oct-2017",56.6
"Nov-2017",19.4
"Dec-2017",0
"Jan-2018",0
"Feb-2018",0
"Mar-2018",7.4
"Apr-2018",96.6
"May-2018",111.4
"Jun-2018",477.6
"Jul-2018",677.4
"Aug-2018",585.2
"Sep-2018",0
"Oct-2018",56.4
"Dec-2018",0
"Jul-2019",541.1
"Aug-2019",1801.4
"Sep-2019",803.1
"Oct-2019",551.6
"Nov-2019",138.8
"Dec-2019",22.2
"Jan-2020",0
"Jun-2020",777.7
"Jul-2020",683.4
"Aug-2020",883
"Sep-2020",692.4
"Oct-2020",243
"Nov-2020",38.8
"Dec-2020",32.6
"Jan-2021",0
"May-2021",236.2
"Jun-2021",626.2
"Jul-2021",878
"Aug-2021",555.8
"Sep-2021",340
"Oct-2021",632
"Nov-2021",276.2
"Dec-2021",12.6
