Dates,ACTUAL (mm) 
Jun-2015,72.99
Jul-2015,30.8
Aug-2015,60.6
Sep-2015,3.4
Oct-2015,140.4
Nov-2015,479.4
Dec-2015,488.2
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,0
May-2016,240.6
Jun-2016,72.8
Jul-2016,21
Aug-2016,95.6
Sep-2016,39.6
Oct-2016,49
Nov-2016,110.4
Dec-2016,64.2
Jan-2017,103.4
Feb-2017,0
Mar-2017,50
Apr-2017,0
May-2017,0
Jun-2017,85.4
Jul-2017,32.2
Aug-2017,99.6
Sep-2017,133.8
Oct-2017,184.2
Nov-2017,620.4
Dec-2017,229.5
Jan-2018,79.4
Feb-2018,0
Mar-2018,5
Apr-2018,2.4
May-2018,20.9
Jun-2018,43
Jul-2018,2.4
Aug-2018,30
Sep-2018,17.8
Oct-2018,189
Nov-2018,536.8
Dec-2018,74.6
Jan-2019,0
Feb-2019,1.8
Mar-2019,0
Apr-2019,0
May-2019,0
Jun-2019,0
Jul-2019,80
Aug-2019,178.6
Sep-2019,200.2
Oct-2019,286.8
Nov-2019,325.8
Dec-2019,296
Jan-2020,4.4
Feb-2020,0
Mar-2020,0
May-2020,0
Jun-2020,5.4
Jul-2020,209.4
Aug-2020,93.3
Sep-2020,96
Oct-2020,29.8
Nov-2020,242.4
Dec-2020,636.8
Jan-2021,215.2
Feb-2021,0
Mar-2021,0
Apr-2021,3
May-2021,92.2
Jun-2021,8.4
Jul-2021,65
Aug-2021,85.9
Sep-2021,20
Oct-2021,390
Nov-2021,705.2
Dec-2021,35.4
