Dates,ACTUAL (mm) 
Jan-2015,56.4
Aug-2015,102.4
Sep-2015,83.2
Oct-2015,39.8
Nov-2015,164.2
Dec-2015,1
Feb-2016,0
Mar-2016,0
Apr-2016,8
May-2016,84.6
Jun-2016,36.4
Jul-2016,63.4
Aug-2016,16.2
Sep-2016,8.8
Oct-2016,11.2
Nov-2016,0
Dec-2016,39.8
Jan-2017,0
Feb-2017,0
Mar-2017,0
Apr-2017,58.6
May-2017,280
Jun-2017,18.01
Jul-2017,34.66
Aug-2017,230.3
Sep-2017,236.2
Oct-2017,136.2
Nov-2017,9.8
Dec-2017,12
Jan-2018,0
Feb-2018,7.5
Mar-2018,8
Apr-2018,30.9
May-2018,161.6
Jun-2018,156.7
Jul-2018,56.6
Aug-2018,31
Sep-2018,93
Oct-2018,158.2
Nov-2018,3.4
Dec-2018,3.2
Jan-2019,0
Feb-2019,0
Mar-2019,0
Apr-2019,11.8
May-2019,73
Jun-2019,41.2
Jul-2019,21.6
Aug-2019,142.3
Sep-2019,68
Oct-2019,97
Nov-2019,17.8
Dec-2019,4.2
Jan-2020,0
Feb-2020,0
May-2020,238.8
Jun-2020,24.4
Jul-2020,79.8
Aug-2020,30
Sep-2020,71.8
Oct-2020,259
Nov-2020,122
Dec-2020,11.6
Jan-2021,3.2
Feb-2021,4.4
Mar-2021,0.6
Apr-2021,5.4
May-2021,9.2
Jun-2021,33.4
Jul-2021,207.6
Aug-2021,12.2
Sep-2021,72.8
Oct-2021,206.4
Nov-2021,24
Dec-2021,0.4
