Dates,ACTUAL (mm) 
Jun-2015,41
Jul-2015,2.6
Aug-2015,16.2
Sep-2015,113.4
Oct-2015,95.1
Nov-2015,0
Jun-2016,61.6
Jul-2016,165.8
Aug-2016,31.4
Sep-2016,58.4
Oct-2016,70.4
Nov-2016,17.6
Dec-2016,22.7
Jan-2017,3.7
Feb-2017,0
May-2017,217.8
Jun-2017,8.2
Jul-2017,14.9
Aug-2017,141.2
Sep-2017,208.4
Oct-2017,265.2
Nov-2017,60.2
Dec-2017,93.6
Jan-2018,0
Feb-2018,17.6
Mar-2018,0
Apr-2018,45.9
May-2018,189.9
Jun-2018,34.3
Jul-2018,25.4
Aug-2018,30.4
Sep-2018,123.8
Oct-2018,54.4
Nov-2018,58.4
Dec-2018,9.8
Jan-2019,2
Feb-2019,0
Mar-2019,3.2
Apr-2019,87.4
May-2019,26.6
Jun-2019,0
Jul-2019,21.6
Aug-2019,34
Sep-2019,152.6
Oct-2019,855.6
Nov-2019,96.8
Dec-2019,22.8
Jan-2020,0
Feb-2020,0
Mar-2020,0
Apr-2020,170.6
May-2020,1155.8
Jun-2020,29.4
Jul-2020,141
Aug-2020,71.6
Sep-2020,256.4
Oct-2020,117.3
Nov-2020,89.8
Dec-2020,46.8
Jan-2021,21.8
Feb-2021,17.4
Mar-2021,0
Apr-2021,211.6
May-2021,100
Jun-2021,30.8
Jul-2021,31.2
Aug-2021,87.5
Sep-2021,96
Oct-2021,210.1
Nov-2021,135.3
Dec-2021,36.2
