Dates,ACTUAL (mm) 
Jun-2015,0
Jul-2015,89.6
Aug-2015,60.2
Sep-2015,102.6
Oct-2015,73
Nov-2015,173.12
Dec-2015,35.4
Feb-2016,0
May-2016,41.2
Jun-2016,1.6
Nov-2016,0
Dec-2016,34.6
Jan-2017,0
Feb-2017,0
Mar-2017,0
Apr-2017,0
Jun-2017,0
Aug-2017,15.8
Sep-2017,59.2
Oct-2017,221.2
Nov-2017,55.4
Dec-2017,76.8
Jan-2018,0
Feb-2018,9.6
Mar-2018,36.2
Apr-2018,0
May-2018,0
Jun-2018,14.2
Jul-2018,72
Aug-2018,63.2
Sep-2018,60.8
Oct-2018,108.4
Nov-2018,98.4
Dec-2018,23.2
Apr-2019,0
May-2019,0
Aug-2019,0
Feb-2020,0
May-2020,0
Jul-2020,118.8
Aug-2020,23
Sep-2020,193.4
Oct-2020,120.4
Nov-2020,119
Dec-2020,235
Jan-2021,61.7
Feb-2021,19.8
Mar-2021,0
Apr-2021,0
May-2021,28.6
Jun-2021,22.4
Jul-2021,81.8
Aug-2021,115
Sep-2021,133.8
Oct-2021,54.2
Nov-2021,274.8
Dec-2021,17.8
