system:index,date,mean_NDVI,.geo
LC08_142052_20210131,31-01-2021,0.55157917,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142052_20210216,16-02-2021,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142052_20210304,04-03-2021,0.510406049,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142052_20210320,20-03-2021,0.473032194,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142052_20210405,05-04-2021,0.427536676,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142052_20210421,21-04-2021,0.430638298,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142052_20210507,07-05-2021,0.456852202,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142052_20210523,23-05-2021,0.455767786,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142052_20210608,08-06-2021,0.478279501,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142052_20210624,24-06-2021,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142052_20210726,26-07-2021,0.507177459,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142052_20210811,11-08-2021,0.495729827,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142052_20210827,27-08-2021,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142052_20210912,12-09-2021,0.519551334,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142052_20210928,28-09-2021,0.518998044,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142052_20211014,14-10-2021,0.513840575,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142052_20211115,15-11-2021,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142052_20211201,01-12-2021,0.652101467,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142052_20211217,17-12-2021,0.616908681,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142053_20210131,31-01-2021,0.574252389,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142053_20210216,16-02-2021,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142053_20210304,04-03-2021,0.483898213,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142053_20210320,20-03-2021,0.417348501,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142053_20210405,05-04-2021,0.380159819,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142053_20210421,21-04-2021,0.402656822,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142053_20210507,07-05-2021,0.426229406,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142053_20210523,23-05-2021,0.439219368,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142053_20210608,08-06-2021,0.470859062,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142053_20210624,24-06-2021,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142053_20210710,10-07-2021,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142053_20210726,26-07-2021,0.471490397,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142053_20210811,11-08-2021,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142053_20210827,27-08-2021,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142053_20210912,12-09-2021,0.495342889,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142053_20210928,28-09-2021,0.500989279,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142053_20211014,14-10-2021,0.522899952,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142053_20211115,15-11-2021,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142053_20211201,01-12-2021,0.663117464,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_142053_20211217,17-12-2021,0.606251657,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143051_20210122,22-01-2021,0.666820604,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143051_20210207,07-02-2021,0.594276901,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143051_20210223,23-02-2021,0.561273894,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143051_20210311,11-03-2021,0.491786065,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143051_20210327,27-03-2021,0.384985114,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143051_20210412,12-04-2021,0.329122772,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143051_20210428,28-04-2021,0.449875681,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143051_20210514,14-05-2021,0.442541503,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143051_20210530,30-05-2021,0.515207879,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143051_20210615,15-06-2021,0.564257439,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143051_20210701,01-07-2021,0.586717794,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143051_20210802,02-08-2021,0.575171702,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143051_20210818,18-08-2021,0.615301155,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143051_20210919,19-09-2021,0.651443695,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143051_20211021,21-10-2021,0.718026824,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143051_20211122,22-11-2021,0.763986326,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143051_20211208,08-12-2021,0.744692681,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143051_20211224,24-12-2021,0.701540311,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143052_20210122,22-01-2021,0.613389284,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143052_20210207,07-02-2021,0.515286382,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143052_20210223,23-02-2021,0.470941392,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143052_20210311,11-03-2021,0.420661313,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143052_20210327,27-03-2021,0.385096584,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143052_20210412,12-04-2021,0.392107868,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143052_20210428,28-04-2021,0.43445382,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143052_20210514,14-05-2021,0.423097609,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143052_20210530,30-05-2021,0.443921893,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143052_20210615,15-06-2021,0.443655415,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143052_20210701,01-07-2021,0.457567161,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143052_20210717,17-07-2021,0.538504824,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143052_20210802,02-08-2021,0.465867604,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143052_20210818,18-08-2021,0.428564524,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143052_20210919,19-09-2021,0.527821965,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143052_20211021,21-10-2021,0.660275955,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143052_20211106,06-11-2021,0.66769575,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_143052_20211122,22-11-2021,0.695039827,"{""type"":""MultiPoint"",""coordinates"":[]}"
