Dates,ACTUAL (mm) 
"Jun-2015",118
"Jul-2015",87.1
"Aug-2015",128
"Sep-2015",46
"Oct-2015",68.4
"Nov-2015",123
"Dec-2015",19
"Jan-2016",0
"Feb-2016",0
"Mar-2016",0
"May-2016",77.4
"Jun-2016",112
"Jul-2016",151
"Aug-2016",50.7
"Sep-2016",11.4
"Oct-2016",40
"Nov-2016",36.8
"Dec-2016",23
"Jan-2017",0
"Feb-2017",0
"May-2017",134.2
"Jun-2017",82.6
"Jul-2017",76
"Aug-2017",95
"Sep-2017",263.4
"Oct-2017",48.4
"Nov-2017",19.2
"Dec-2017",39
"Jan-2018",2
"Feb-2018",6
"Mar-2018",17.81
"Apr-2018",42.8
"May-2018",190.4
"Jun-2018",151.4
"Jul-2018",287.2
"Aug-2018",340.6
"Sep-2018",90.2
"Oct-2018",129.4
"Nov-2018",25.8
"Dec-2018",0
"Jan-2019",0
"Feb-2019",0
"Mar-2019",0
"Apr-2019",58
"May-2019",36
"Jun-2019",0
"Jul-2019",31.24
"Aug-2019",240
"Sep-2019",71.6
"Oct-2019",342
"Nov-2019",82.2
"Dec-2019",19.6
"Jan-2020",0
"Feb-2020",0
"Mar-2020",0
"Apr-2020",35
"May-2020",27.4
"Jun-2020",71.8
"Jul-2020",138.4
"Aug-2020",132.5
"Sep-2020",169.88
"Oct-2020",28
"Nov-2020",72.6
"Dec-2020",59.8
"Jan-2021",39.8
"Feb-2021",1
"Mar-2021",32
"Apr-2021",25.2
"May-2021",90.4
"Jun-2021",50.2
"Jul-2021",163.3
"Aug-2021",45
"Sep-2021",59.65
"Oct-2021",268
"Nov-2021",294.7
"Dec-2021",55.4
