Dates,ACTUAL (mm) 
Jan-2015,2.4
Jul-2015,0
Aug-2015,172
Sep-2015,157.4
Oct-2015,123
Nov-2015,97.5
Dec-2015,10.4
Feb-2016,0
Mar-2016,0
Apr-2016,9.4
May-2016,94.6
Jun-2016,44
Jul-2016,199
Aug-2016,13
Sep-2016,0
Oct-2016,44.8
Nov-2016,0
Dec-2016,56.1
Jan-2017,4.2
Feb-2017,0
Mar-2017,11.3
Apr-2017,36.8
May-2017,275.2
Jun-2017,31.4
Jul-2017,21.6
Aug-2017,231.6
Sep-2017,395
Oct-2017,318.8
Nov-2017,17.6
Dec-2017,7
Jan-2018,0
Feb-2018,0
Mar-2018,42.8
Apr-2018,28.8
May-2018,221.6
Jun-2018,33.2
Jul-2018,12.4
Aug-2018,37.6
Sep-2018,190.2
Oct-2018,85.4
Nov-2018,15.4
Dec-2018,8.4
Jan-2019,0
Feb-2019,3.8
Mar-2019,0
Apr-2019,88.4
May-2019,102.6
Jun-2019,5
Jul-2019,37.5
Aug-2019,141.4
Sep-2019,264.6
Oct-2019,655.4
Nov-2019,80.6
Dec-2019,47.8
Jan-2020,0
Feb-2020,0
Mar-2020,0
Apr-2020,132.8
May-2020,418.6
Jun-2020,86.8
Jul-2020,188
Aug-2020,91
Sep-2020,196.4
Oct-2020,100.6
Nov-2020,101.6
Dec-2020,32.2
Jan-2021,60.4
Feb-2021,0
Mar-2021,0
Apr-2021,92
May-2021,319.6
Jun-2021,54.6
Jul-2021,177.4
Aug-2021,120.2
Sep-2021,123.2
Oct-2021,297
Nov-2021,273.6
Dec-2021,38.2
