Dates,ACTUAL (mm) 
Nov-2016,0
Dec-2016,0
Jun-2017,0
Jul-2017,0
Sep-2017,0
Oct-2017,0
Nov-2017,40.4
Dec-2017,0
Jan-2018,12.6
Feb-2018,0
Mar-2018,0
Apr-2018,0
May-2018,8.27
Jun-2018,0
Jul-2018,32
Aug-2018,0.4
Sep-2018,46.8
Oct-2018,95.8
Nov-2018,135.5
Dec-2018,7.6
Jan-2019,0
Feb-2019,0
Mar-2019,0
Apr-2019,0
May-2019,16
Jun-2019,0
Jul-2019,8.8
Aug-2019,73.6
Sep-2019,151.4
Oct-2019,100.2
Nov-2019,107.4
Dec-2019,40.5
Jan-2020,0
Feb-2020,0
Apr-2020,0
May-2020,18.8
Jun-2020,56
Jul-2020,78
Aug-2020,123.8
Sep-2020,52
Oct-2020,69.4
Nov-2020,143.8
Dec-2020,180.8
Jan-2021,133.2
Feb-2021,0
Mar-2021,0
Apr-2021,11.2
May-2021,32.8
Jun-2021,35.3
Jul-2021,127.9
Aug-2021,17.1
Sep-2021,132
Oct-2021,255.8
Nov-2021,509.6
Dec-2021,39.2
