Dates,ACTUAL (mm) 
Aug-2015,65.4
Sep-2015,199.7
Oct-2015,90.4
Nov-2015,218.6
Dec-2015,7.4
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,0
May-2016,44.2
Jun-2016,40
Jul-2016,106.4
Aug-2016,0
Sep-2016,33.2
Oct-2016,20
Nov-2016,0
Dec-2016,14
Jan-2017,0
Feb-2017,0
Mar-2017,0
Apr-2017,46
May-2017,43
Jun-2017,0
Jul-2017,15.6
Aug-2017,42.2
Sep-2017,143.8
Oct-2017,114.4
Nov-2017,10
Dec-2017,0
Jan-2018,0
Feb-2018,0
Mar-2018,14
Apr-2018,28.2
May-2018,233.2
Jun-2018,46.6
Jul-2018,60
Aug-2018,21.6
Sep-2018,76.1
Oct-2018,81.4
Nov-2018,10.4
Dec-2018,0
Jan-2019,0
Feb-2019,0
Mar-2019,0
Apr-2019,9
May-2019,28
Jun-2019,0
Jul-2019,28.6
Aug-2019,57.6
Sep-2019,33.4
Oct-2019,290
Nov-2019,13
Dec-2019,30
Jan-2020,0
Feb-2020,0
Jun-2020,60
Jul-2020,82.6
Aug-2020,35.8
Sep-2020,269
Oct-2020,165.6
Jun-2021,10
Jul-2021,178.4
Aug-2021,76.2
Sep-2021,0
Oct-2021,342.4
Nov-2021,92.8
Dec-2021,77.3
