Dates,ACTUAL (mm) 
Jan-2015,1.8
Aug-2015,86.6
Sep-2015,112.6
Oct-2015,19.6
Nov-2015,41.8
Dec-2015,31.6
Feb-2016,6
Mar-2016,0
Apr-2016,10.6
May-2016,54.6
Jun-2016,200.2
Jul-2016,141
Aug-2016,53.8
Sep-2016,30.4
Oct-2016,0
Nov-2016,11
Dec-2016,44.1
Jan-2017,39.4
Feb-2017,0
Mar-2017,7.6
Apr-2017,122
May-2017,166.4
Jun-2017,104.1
Jul-2017,109.1
Aug-2017,219.6
Sep-2017,223.4
Oct-2017,57.8
Nov-2017,11.8
Dec-2017,11.4
Jan-2018,0
Feb-2018,4.8
Mar-2018,136.4
Apr-2018,89.4
May-2018,255.2
Jun-2018,216.8
Jul-2018,299.4
Aug-2018,334.3
Sep-2018,100
Oct-2018,43.4
Nov-2018,0
Dec-2018,5.2
Jan-2019,0
Feb-2019,1
Mar-2019,0
Apr-2019,74.4
May-2019,74.2
Jun-2019,25.2
Jul-2019,15.6
Aug-2019,104.3
Sep-2019,65.2
Oct-2019,198
Nov-2019,352
Dec-2019,69.6
Jan-2020,0
Feb-2020,0
Mar-2020,26
Apr-2020,12
May-2020,679.2
Jun-2020,64.4
Jul-2020,87.4
Aug-2020,168.6
Sep-2020,193
Oct-2020,69.2
Nov-2020,11.8
Dec-2020,15
Jan-2021,45
Feb-2021,21
Mar-2021,0
Apr-2021,972.6
May-2021,541.8
Jun-2021,172.8
Jul-2021,200.3
Aug-2021,53
Sep-2021,58.5
Oct-2021,111.2
Nov-2021,103.6
Dec-2021,0
