Dates,ACTUAL (mm) 
Jun-2015,49.6
Jul-2015,14.2
Aug-2015,33.2
Sep-2015,90.6
Oct-2015,208.8
Nov-2015,371.6
Dec-2015,8
Jan-2016,0
Feb-2016,0
Mar-2016,0
May-2016,51.2
Jun-2016,65.84
Jul-2016,54.2
Aug-2016,32
Sep-2016,20.6
Oct-2016,47.8
Nov-2016,16.1
Dec-2016,29.8
Jan-2017,8.6
Feb-2017,0
May-2017,131.8
Jun-2017,63
Jul-2017,15.6
Aug-2017,103.8
Sep-2017,257.4
Oct-2017,72
Nov-2017,19.4
Dec-2017,122
Jan-2018,1.2
Feb-2018,9.8
Mar-2018,10.6
Apr-2018,0
May-2018,242.8
Jun-2018,17.2
Jul-2018,7.2
Aug-2018,20.4
Sep-2018,368
Oct-2018,112.2
Nov-2018,49.8
Dec-2018,0
Jan-2019,0
Feb-2019,2.2
Mar-2019,2.08
Apr-2019,59.8
May-2019,130.4
Jun-2019,1
Jul-2019,4.4
Aug-2019,43.2
Sep-2019,150
Oct-2019,332.8
Nov-2019,111.8
Dec-2019,26.4
Jan-2020,0
Feb-2020,0
Mar-2020,0
Apr-2020,2
May-2020,67.4
Jun-2020,14.4
Jul-2020,150.6
Aug-2020,114.6
Sep-2020,145.8
Oct-2020,59
Nov-2020,105.4
Dec-2020,40.6
Jan-2021,51
Feb-2021,0
Mar-2021,0
Apr-2021,22.6
May-2021,8.6
Jun-2021,77.2
Jul-2021,57.2
Aug-2021,39.4
Sep-2021,125.4
Oct-2021,319.8
Nov-2021,212.4
Dec-2021,35.4
