Dates,ACTUAL (mm) 
Jan-2015,11.6
Aug-2015,134
Sep-2015,182.4
Oct-2015,81
Nov-2015,105.2
Dec-2015,2.4
Feb-2016,0
Mar-2016,0
Apr-2016,19.4
May-2016,36
Jun-2016,73.6
Jul-2016,153
Aug-2016,26.8
Sep-2016,6.4
Oct-2016,43
Nov-2016,0
Dec-2016,48.2
Jan-2017,2.4
Feb-2017,0
Mar-2017,22
Apr-2017,61.4
May-2017,147
Jun-2017,3.4
Jul-2017,18.6
Aug-2017,198
Sep-2017,307.2
Oct-2017,112
Nov-2017,9
Dec-2017,9
Jan-2018,0
Feb-2018,21.4
Mar-2018,12.6
Apr-2018,24
May-2018,210.7
Jun-2018,106.4
Jul-2018,39
Aug-2018,20.8
Sep-2018,259
Oct-2018,45.6
Nov-2018,15.8
Dec-2018,0
Jan-2019,10.2
Feb-2019,0
Mar-2019,0
Apr-2019,11.8
May-2019,108.6
Jun-2019,14.4
Jul-2019,1
Aug-2019,178.4
Sep-2019,280.1
Oct-2019,201.4
Nov-2019,1305
Dec-2019,0.4
Jan-2020,0
Feb-2020,0
Mar-2020,6
Apr-2020,118
May-2020,873.4
Jun-2020,47.2
Jul-2020,132.8
Aug-2020,46.6
Sep-2020,247.3
Oct-2020,182.4
Nov-2020,41.6
Dec-2020,44.5
Jan-2021,19
Feb-2021,17
Mar-2021,768
Apr-2021,753
May-2021,1198
Jun-2021,12.6
Jul-2021,64.4
Aug-2021,65.8
Sep-2021,31.8
Oct-2021,129.4
Nov-2021,142.8
Dec-2021,0
