Dates,ACTUAL (mm) 
Jun-2015,38.2
Jul-2015,18.8
Aug-2015,115.6
Sep-2015,105.8
Oct-2015,133.2
Nov-2015,293.2
Dec-2015,36.4
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,2.6
May-2016,131
Jun-2016,84.4
Jul-2016,175.8
Aug-2016,33.6
Sep-2016,13.6
Oct-2016,53
Nov-2016,4.2
Dec-2016,46.6
Jan-2017,2.8
Feb-2017,0
Mar-2017,19.8
Apr-2017,0
May-2017,199
Jun-2017,50.4
Jul-2017,35
Aug-2017,189.82
Sep-2017,186.8
Oct-2017,132.2
Nov-2017,52.6
Dec-2017,11.6
Jan-2018,0
Feb-2018,36
Mar-2018,12.2
Apr-2018,22.6
May-2018,162.6
Jun-2018,81.6
Jul-2018,26
Aug-2018,14
Sep-2018,110.2
Oct-2018,100.2
Nov-2018,19.8
Dec-2018,0
Jan-2019,0
Feb-2019,0
Mar-2019,3.2
Apr-2019,0
May-2019,77.4
Jun-2019,55.5
Jul-2019,13
Aug-2019,132.8
Sep-2019,15.2
Oct-2019,3.8
Nov-2019,5.6
Dec-2019,5.8
Jan-2020,0
Feb-2020,0
Mar-2020,0
Apr-2020,9.2
May-2020,63.4
Jun-2020,44.6
Jul-2020,246.4
Aug-2020,140
Sep-2020,78.6
Oct-2020,199
Nov-2020,17.2
Dec-2020,33.4
Jan-2021,10.2
Feb-2021,0
Jul-2021,0
Aug-2021,122.4
Sep-2021,210.6
Oct-2021,110.8
Nov-2021,234
Dec-2021,16.2
